sample_ind,rho,sim_steps
2,3.342059762003762,1709
3,4.71429745474329,1766
4,3.5517725961814293,1753
5,2.395366404738958,1723
6,4.206088051750148,1761
7,3.01421085384208,2013
8,3.8893769320041933,1771
9,3.4574013135433965,1758
10,3.5354729517752848,2012
11,4.0736048575710235,1759
12,2.7297886285834467,1740
13,2.44517994886197,1741
14,3.0675795181990235,1979
15,4.3218660503920034,1766
16,3.421024216301282,2002
17,4.55584292273725,1752
18,3.5568799828273896,1709
19,4.428037135395286,1711
20,3.1181833291936965,1708
21,3.4413197803706055,1763
22,2.262946190852629,1707
23,3.6352243436795852,1991
24,2.255135870434229,1718
25,3.024127753603304,1989
26,-0.03552405498631117,1513
